"ID","素材1ID","素材2ID","生成物ID"
"0","4000","4001","4004"
"1","7000","9000","7001"
"2","4005","4006","4007"
"3","4003","9002","4006"
"4","4002","9001","4005"
"5","0","9001","1"
"6","2000","9003","2001"
"7","9004","9005","9006"
"8", "0", "9006", "2"
"9","3","9006","4"
"10","4001","9002","4008"
"11","5","4003","4009"
"12","9007","7002","5000"
"13","9007","9005","9008"
"14","9008","9001","9009"
"15","9009","9010","5001"
"16","9011","9012","9013"
"17","9006","9013","5002"
"18","9004","9009","3001"
"19","9013","7003","5003"
"20","9013","9014","5004"
"21","9012","9004","9014"
"22","1","9011","5005"
"23","6","9015","9016"
"24","2","9016","7"
"25","2000","9006","2004"
"26","3002","9016","3003"
"27","3003","9013","3004"
"28","3003","9010","3005"
"29","4","9003","8"
"30","3","9013","9"
"31","8","7005","10"
"34","9017","9001","5006"
"35","5006","7001","5007"
"36","4002","9002","4010"
"37","11","9014","12"
"38","9016","6","13"
"39","7","9008","14"
"40","1","9007","15"
"41","15","9010","16"
"42","14","9015","17"
"43","16","9015","18"
"44","2003","9016","2005"
"45","2001","9006","2003"
"46","2004","9008","2006"
"47","2004","9013","2007"
"48","3001","9013","3000"
"49","2008","9017","2009"
"50","2009","9000","2010"
"51","2010","9017","2011"
"52","2010","9003","2012"
"53","9017","9006","3006"
"54","3006","9003","3007"
"55","6","1000","5008"
"56","9","9015","11"
"57","2000","9010","2013"
"58","2013","9010","2014"
"59","2014","9016","2015"
