dungeon-name  = "ルミア島の地下迷宮"
max-floor     = 30
max-enemies   = 60

start-level   = 1
start-floor   = 1
start-item    = 4004

[design-map]
0001: 0001
0002: 0001
0003: 0001
0004: 0002
0005: 0002
0006: 0002
0007: 0002
0008: 0002
0009: 0002
0010: 0002
0011: 0003
0012: 0003
0013: 0003
0014: 0003
0015: 0003
0016: 0004
0017: 0004
0018: 0004
0019: 0004
0020: 0004
0021: 0005
0022: 0005
0023: 0005
0024: 0005
0025: 0005
0026: 0002
0027: 0002
0028: 0004
0029: 0004
0030: 0001

[enemy-map]
0001: [8-12] <50/1500> |0| 0^60, 4^25, 8^15
0002: [8-12] <50/1500> |0| 0^50, 4^20, 8^15, 12^15
0003: [8-12] <50/1500> |0| 0^20, 4^30, 8^20, 12^30
0004: [8-12] <50/1500> |8| 12^40, 16^30, 20^30
0005: [8-12] <50/1500> |8| 12^25, 16^25, 20^25, 24^15, 28^10
0006: [8-12] <50/1500> |8| 12^25, 16^25, 20^25, 24^15, 28^10
0007: [8-12] <50/1500> |8| 32^20, 36^15, 40^15, 1^15, 44^10, 48^10, 52^15
0008: [8-12] <50/1500> |8| 32^20, 36^15, 40^15, 1^15, 44^10, 48^10, 52^15
0009: [8-12] <50/1500> |8| 32^10, 36^15, 40^15, 1^10, 44^10, 48^10, 52^10, 56^10, 60^10
0010: [8-12] <50/1500> |8| 32^10, 36^15, 40^15, 1^10, 44^10, 48^10, 52^10, 56^10, 60^10
0011: [8-12] <50/1500> |8| 64^15, 65^25, 69^25, 73^20, 77^15
0012: [8-12] <50/1500> |8| 64^15, 65^25, 69^25, 73^20, 77^15
0013: [8-12] <50/1500> |8| 64^15, 65^20, 69^20, 73^20, 77^15, 81^10
0014: [8-12] <50/1500> |8| 65^20, 69^20, 73^20, 77^15, 81^15, 85^10
0015: [8-12] <50/1500> |8| 65^20, 69^20, 73^20, 77^15, 81^15, 85^10
0016: [8-12] <50/1500> |8| 85^10, 9^25, 25^25, 90^10, 93^10, 97^20
0017: [8-12] <50/1500> |8| 9^10, 25^20, 90^10, 93^10, 97^10, 102^20, 105^20
0018: [8-12] <50/1500> |8| 9^10, 25^20, 90^10, 93^10, 97^10, 102^20, 105^20
0019: [8-12] <50/1500> |8| 9^10, 25^20, 90^10, 93^10, 97^10, 102^20, 105^20
0020: [8-12] <50/1500> |8| 9^10, 25^20, 90^10, 93^10, 97^10, 102^20, 105^20
0021: [8-12] <50/1500> |8| 109^15, 113^20, 118^20, 37^15, 121^15, 125^15
0022: [8-12] <50/1500> |8| 109^15, 113^20, 118^20, 37^15, 121^15, 125^15
0023: [8-12] <50/1500> |8| 109^15, 113^20, 118^20, 37^15, 121^15, 125^15
0024: [8-12] <50/1500> |8| 150^10, 113^20, 118^10, 129^15, 17^15, 133^15, 138^15
0025: [8-12] <50/1500> |8| 150^10, 113^20, 118^10, 129^15, 17^15, 133^15, 138^15
0026: [8-12] <50/1500> |8| 150^10, 142^15, 146^15, 45^10, 6^20, 53^15, 70^15
0027: [8-12] <50/1500> |8| 150^10, 142^15, 146^15, 45^10, 6^20, 53^15, 70^15
0028: [8-12] <50/1500> |8| 150^10, 142^15, 146^15, 153^10, 57^15, 94^10, 158^10, 62^15
0029: [8-12] <50/1500> |8| 150^10, 142^15, 146^15, 153^10, 57^15, 94^10, 158^10, 62^15
0030: [8-12] <50/1500> |8| 172^40, 176^40, 50^10, 22^10

[item-map]
0001: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0002: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0003: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0004: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0005: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0006: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0007: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0008: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0009: [9-12] o2-3 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
0010: [9-12] o1-2 0^2.2, 3^2.2, 5^2.2, 6^2.2, 1000^4.8, 2000^4.3, 2008^4.3, 3002^3.3, 4000^5.2, 4001^5.2, 4002^5.2, 4003^5.2, 7000^4, 7002^4, 7003^4, 7004^4, 7005^4, 7006^4, 9000^2.5, 9001^2.5, 9002^2.5, 9003^2.5, 9004^2.5, 9005^2.5, 9007^2.5, 9010^2.5, 9011^2.5, 9012^2.5, 9015^2.5, 9017^2.5
