"ID", "説明"
"1", "隣接している時、低確率で全員を睡眠状態にする特技を使う。"
"2", "視界内かつ2マス以内にいる時、低確率で2マス以内の全員を睡眠状態にする特技を使う。"
"3", "視界内かつ3マス以内にいる時、低確率で3マス以内の全員を睡眠状態にする特技を使う。"
"4", "HPが0になるダメージを受けても、1回だけHP1で耐える。"
"8", "倒すと必ず次のパン、肉、タラ、じゃがいものいずれかを落とす。"
"12", "視界内かつ直線上3マス以内にいる時、中確率で遠距離攻撃する。"
"16", "HPが最大値の20%以下かつ2以上の場合、HPを1にする必中攻撃をする。"
"17", "HPが最大値の40%以下かつ2以上の場合、HPを1にする必中攻撃をする。"
"18", "HPが最大値の60%以下かつ2以上の場合、HPを1にする必中攻撃をする。"
"19", "HPが最大値の80%以下かつ2以上の場合、HPを1にする必中攻撃をする。"
"20", "視界内いてかつ隣接していない場合、隣にワープする。"
"23", "フロアのどこからでも隣接していない場合、隣にワープする。"
"24", "視界内に花以外のアイテムがある場合、その方向に移動する。足元に花以外のアイテムがある場合、そのアイテムを花に変化させる。"
"28", "移動しない。部屋から通路に移動しようとしたとき、同じ部屋内のランダムな位置にワープさせる。"
"37", "隣接している時、低確率で、プレイヤーの装備している武器か防具のいずれか1つを後方に弾く。"
"38", "隣接している時、低確率で、プレイヤーの装備している武器か防具か装飾のいずれか1つを後方に弾く。"
"39", "隣接している時、低確率で、プレイヤーの装備している武器か防具か装飾のいずれか1つを後方に弾く。"
"40", "投擲や遠距離攻撃を必ず回避する。"
"44", "攻撃しない。自身の周囲に同じフロアに現れる実験体を1体召喚し、自分は別の部屋にワープする。"
"45", "攻撃しない。自身の周囲に同じフロアに現れる実験体を2体召喚し、自分は別の部屋にワープする。"
"46", "攻撃しない。自身の周囲に同じフロアに現れる実験体を3体召喚し、自分は別の部屋にワープする。"
"47", "攻撃しない。自身の周囲に同じフロアに現れる実験体を4体召喚し、自分は別の部屋にワープする。"
"48", "低確率でイシュトバーンを召喚する。召喚したイシュトバーンは能力を使えない。"
"52", "視界内にアイテムがありかつ自分がアイテムを持っていない場合、その方向に移動して拾う。拾ったアイテムは倒すとドロップする。アイテムを持ってる間は常に倍速状態になる。"
"56", "3マス以内にいる場合、低確率でプレイヤーとその周囲に10ダメージの爆弾を投げる。"
"57", "4マス以内にいる場合、低確率でプレイヤーとその周囲に20ダメージの爆弾を投げる。"
"58", "5マス以内にいる場合、低確率でプレイヤーとその周囲に30ダメージの爆弾を投げる。"
"59", "6マス以内にいる場合、低確率でプレイヤーとその周囲に40ダメージの爆弾を投げる。"
"60", "壁をすり抜けて移動できるし壁の中から攻撃できる。ちょっと目がいい。"
"64", "見境なく攻撃する。攻撃は常に攻撃力分の固定ダメージを与える。昇格しない代わりにレベルが無制限に上がる。"
"65", "倒すと中確率で棺桶を落とす。隣接している時かつ烙印状態でない場合、烙印状態（20ターン）にする。"
"67", "倒すと中確率で棺桶を落とす。同じ部屋にいて烙印状態でない場合、中確率でプレイヤーを烙印状態（20ターン）にする。"
"68", "倒すと中確率で棺桶を落とす。視界内外問わずフロアのどこからでも、プレイヤーが烙印状態でない場合30%の確率で、プレイヤーを烙印状態（20ターン）にする。「キアラは烙印を刻んだ！」"
"69", "倒すと中確率で棺桶を落とす。隣接している時、低確率で洗脳状態にする特技を使う。"
"70", "倒すと中確率で棺桶を落とす。隣接している時、低確率で洗脳状態にする特技を使う。"
"71", "倒すと中確率で棺桶を落とす。隣接している時、低確率で洗脳状態にする特技を使う。"
"72", "倒すと中確率で棺桶を落とす。隣接している時、中確率で洗脳状態にする特技を使う。"
"73", "倒すと中確率で棺桶を落とす。攻撃して与えたダメージを吸収してHPを回復する。"
"77", "倒すと中確率で棺桶を落とす。視界内に棺桶がある場合、その方向に移動する。自身の周囲か足元に棺桶がある時、棺桶の実験体を復活させる。"
"81", "倒すと低確率でライターを落とす。炎柱のダメージを受けない。低確率で、自分の周囲最大1マスに炎柱を発生させる。炎柱は20ターン維持される。"
"82", "倒すと低確率でライターを落とす。炎柱のダメージを受けない。低確率で、自分の周囲最大2マスに炎柱を発生させる。炎柱は20ターン維持される。"
"83", "倒すと低確率でライターを落とす。炎柱のダメージを受けない。低確率で、自分の周囲最大3マスに炎柱を発生させる。炎柱は20ターン維持される。"
"84", "倒すと低確率でライターを落とす。炎柱のダメージを受けない。低確率で、自分の周囲最大4マスに炎柱を発生させる。炎柱は20ターン維持される。"
"85", "他の実験体がアレックスからダメージを受けると、ダメージを受けた敵の周囲にワープする。"
"89", "逃げるように移動する。低確率でスプリングの罠を設置する。設置したら20ターンは罠を設置しない。"
"93", "低確率で地雷の罠を設置する。設置したら、先20ターンは罠を設置しない。"
"97", "直線上5マス以内にいると、中確率で天体を発射する。天体は当たると、鈍足、混乱、ワープのいずれかの状態異常・効果を与える。"
"98", "直線上5マス以内にいると、中確率で天体を発射する。天体は当たると、鈍足、混乱、麻痺のいずれかの状態異常・効果を与える。"
"99", "直線上5マス以内にいると、中確率で天体を発射する。天体は当たると、鈍足、麻痺、平和のいずれかの状態異常・効果を与える。"
"100", "直線上5マス以内にいると、中確率で天体を発射する。天体は当たると、鈍足、睡眠、平和のいずれかの状態異常・効果を与える。"
"102", "隣接している時、中確率で自身と周囲の全員を平和状態にする。"
"103", "視界内かつ2マス以内にいる時、中確率で全員を平和状態にする。"
"104", "同じ部屋にいる時、中確率で全員を平和状態にする。"
"105", "同じ部屋にいる時、低確率で自身以外の全員を混乱状態にする。使用したら5ターンの間再使用しない。"
"109", "隣接している時、低確率で、手持ちのアイテム1つをハンバーガーに変化する。装備中のアイテムは対象にしない。"
"110", "隣接している時、低確率で、手持ちのアイテム1つをハンバーガーに変化する。装備中のアイテムは対象にしない。"
"111", "隣接している時、低確率で、手持ちのアイテム1つをハンバーガーに変化する。装備中のアイテムは対象にしない。"
"112", "隣接している時、中確率で、手持ちのアイテム1つをハンバーガーに変化する。装備中のアイテムは対象にしない。"
"113", "同じフロアに現れる実験体1種と同様の能力を持ってスポーンする。"
"117", "自身の視界内かつ直線10マス以内にいる場合、低確率で突進する。突進は10マス弾き飛ばし、10ダメージを受ける。"
"118", "自身の視界内かつ直線10マス以内にいる場合、低確率で突進する。突進は10マス弾き飛ばし、20ダメージを受ける。"
"119", "自身の視界内かつ直線10マス以内にいる場合、低確率で突進する。突進は10マス弾き飛ばし、30ダメージを受ける。"
"120", "自身の視界内かつ直線10マス以内にいる場合、低確率で突進する。突進は10マス弾き飛ばし、40ダメージを受ける。"
"121", "直線上いると、中確率で遠距離攻撃する。"
"125", "攻撃したら1歩後ろのマスに下がる。"
"129", "同じ部屋にいる時、視界が周囲1マスだけになる。"
"133", "隣接している時、プレイヤーの装備していないアイテム1つを盗む。盗むとフロアのどこかにワープする。盗んだアイテムは倒すとドロップする。1度盗んだらもう盗まない。"
"137", "隣接している時、中確率で手持ちの装置系アイテム1つを、別の装置系アイテムに変化させる。"
"145", "低確率で痛恨の一撃となり1.5倍のダメージを与える。"
"149", "姿をアイテムに擬態して出現している。プレイヤーがそのアイテムの上に進もうとすると、正体を現す。"
"153", "常時鈍足状態。15マス以内にいる場合、照準を合わせる。次のターンも射程内にいる場合、遠距離攻撃をする。"
"154", "常時鈍足状態。20マス以内にいる場合、照準を合わせる。次のターンも射程内にいる場合、遠距離攻撃をする。"
"155", "常時鈍足状態。30マス以内にいる場合、照準を合わせる。次のターンも射程内にいる場合、遠距離攻撃をする。"
"156", "常時鈍足状態。位置に関わらず、照準を合わせる。次のターン遠距離攻撃をする。"
"157", "同じ部屋にいる時、低確率で自身を除く部屋の全員に自身のHP-1の固定ダメージを与える。この特技では倒れない。特技を使うと自身はHP1になる。スキルは1度しか使わない。"
"171", "10マス以内にいる時、低確率で固定15ダメージのレーザーを発射する。レーザーは直線上の全員に命中する。また直線上の全ての壁は全て破壊される。"
"172", "10マス以内にいる時、低確率で固定25ダメージのレーザーを発射する。レーザーは直線上の全員に命中する。また直線上の全ての壁は全て破壊される。"
"173", "20マス以内にいる時、中確率で固定30ダメージのレーザーを発射する。レーザーは直線上の全員に命中する。また直線上の全ての壁は全て破壊される。"
"174", "どこでも直線上にいる時、中確率で固定40ダメージのレーザーを発射する。レーザーは直線上の全ての対象に命中する。また直線上の全ての壁は全て破壊される。"
"175", "隣接している時、中確率で固定20ダメージの電撃攻撃をする。電撃攻撃は攻撃対象の周囲にも命中する。"
"176", "隣接している時、中確率で固定30ダメージの電撃攻撃をする。電撃攻撃は攻撃対象の周囲にも命中する。"
"177", "隣接している時、中確率で固定40ダメージの電撃攻撃をする。電撃攻撃は攻撃対象の周囲にも命中する。"
"178", "隣接している時、中確率で固定50ダメージの電撃攻撃をする。電撃攻撃は攻撃対象の周囲にも命中する。"
"179", "フロア内に寝ている実験体がいるとき、全員の睡眠状態を解除する。"
"183", "フロア内で誰かがダメージを受けた時、ワープしてHPを20回復してあげる。シャーロットが複数いても、1ターン中に1人しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"184", "フロア内で誰かがダメージを受けた時、ワープしてHPを30回復してあげる。シャーロットが複数いても、1ターン中に1人しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"185", "フロア内で誰かがダメージを受けた時、ワープしてHPを40回復してあげる。シャーロットが複数いても、1ターン中に1人しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"186", "フロア内で誰かがダメージを受けた時、ワープしてHPを50回復してあげる。シャーロットが複数いても、1ターン中に1人しかこの特技を使えない。1度使用したら、同じシャーロットは5ターンは再使用しない。"
"900", "状況に関わらずプレイヤーの位置が分かる。4マス以上10マス以内にいる時、隣にワープする。"
"901", "状況に関わらずプレイヤーの位置が分かる。6マス以上20マス以内にいる時、照準を合わせる。次のターンも20マス以内にプレイヤーがいる場合、遠距離攻撃をする。プレイヤーが6マス以内かつ直線上にいる場合、中確率で遠距離攻撃をする。"
