"ID", "説明"
"1", "プレイヤーが隣接している時、20%の確率で周囲8マスのプレイヤー・敵全員を睡眠状態にする特技を使う。「バーニャは幻想の羽風を使った！」"
"2", "プレイヤーが視界内かつ2マス以内にいる時、20%の確率で2マス以内のプレイヤー・敵全員を睡眠状態にする特技を使う。「バーニャは幻想の羽風を使った！」"
"3", "プレイヤーが視界内かつ3マス以内にいる時、20%の確率で3マス以内のプレイヤー・敵全員を睡眠状態にする特技を使う。「バーニャは幻想の羽風を使った！」"
"4", "HPが0になるダメージを受けても、1回だけHP1で耐える。「○○はニナとの生命共有で耐えた！」"
"8", "倒すと必ず次のアイテムIDのいずれかを落とす。4000, 4001, 4002, 4003"
"12", "視界内かつ直線上3マス以内にプレイヤーがいれば、50%の確率で遠距離攻撃する。ただし間に敵がいる場合はその敵に命中する。"
"16", "プレイヤーのHPが最大値の20%以下かつ2以上の場合、HPを1にする必中攻撃をする。「アデラ「チェック。」」1度使用したら、5ターンは再使用しない。"
"17", "プレイヤーのHPが最大値の40%以下かつ2以上の場合、HPを1にする必中攻撃をする。「アデラ「チェック。」」1度使用したら、5ターンは再使用しない。"
"18", "プレイヤーのHPが最大値の60%以下かつ2以上の場合、HPを1にする必中攻撃をする。「アデラ「チェック。」」1度使用したら、5ターンは再使用しない。"
"19", "プレイヤーのHPが最大値の80%以下かつ2以上の場合、HPを1にする必中攻撃をする。「アデラ「チェック。」」1度使用したら、5ターンは再使用しない。"
"20", "視界内にプレイヤーがいてかつプレイヤーと隣接しておらず、プレイヤーの周囲に空きマスがある場合、プレイヤーの隣接するランダムな空きマスにワープする。「アビゲイルはワープした！」"
"23", "視界内外問わずフロアのどこからでも、プレイヤーと隣接しておらずプレイヤーの周囲に空きマスがある場合、プレイヤーの隣接するランダムな空きマスにワープする。「アビゲイルはワープした！」"
"24", "視界内に花以外のアイテムがある場合、その方向に移動する。足元に花以外のアイテムがある場合、そのアイテムを花に変化させる。メッセージはフロアのどこでも出力。「プリヤ「ランララ～♪」」"
"28", "移動しない。プレイヤーが同じ部屋にいて、かつプレイヤーが部屋から通路に移動しようとしたとき、プレイヤーを同じ部屋内のランダムな位置にワープさせる。「ニア「ボスからは逃げられない...！！」」"
"37", "プレイヤーが隣接している時、15%の確率で、プレイヤーの装備している武器か防具のいずれか1つを後方に弾く。弾く挙動は投げた時と同様。「雪は{武器/防具}を弾いた！」"
"38", "プレイヤーが隣接している時、20%の確率で、プレイヤーの装備している武器か防具か装飾のいずれか1つを後方に弾く。弾く挙動は投げた時と同様。「雪は{武器/防具}を弾いた！」"
"39", "プレイヤーが隣接している時、25%の確率で、プレイヤーの装備している武器か防具か装飾のいずれか1つを後方に弾く。弾く挙動は投げた時と同様。「雪は{武器/防具}を弾いた！」"
"40", "投擲や遠距離攻撃を100%の確率で回避する。"
"44", "攻撃しない。プレイヤーが隣接している時、自身の周囲の空きマスに同じフロアにスポーンする敵を1体召喚し、自分はフロア内の別の部屋にワープする。（召喚者と同種の敵は召喚しない）「マルティナ「シャッターチャンスよ！」」"
"45", "攻撃しない。プレイヤーが隣接している時、自身の周囲の空きマスに同じフロアにスポーンする敵を2体召喚し、自分はフロア内の別の部屋にワープする。（召喚者と同種の敵は召喚しない）「マルティナ「シャッターチャンスよ！」」"
"46", "攻撃しない。プレイヤーが隣接している時、自身の周囲の空きマスに同じフロアにスポーンする敵を3体召喚し、自分はフロア内の別の部屋にワープする。（召喚者と同種の敵は召喚しない）「マルティナ「シャッターチャンスよ！」」"
"47", "攻撃しない。プレイヤーが隣接している時、自身の周囲の空きマスに同じフロアにスポーンする敵を4体召喚し、自分はフロア内の別の部屋にワープする。（召喚者と同種の敵は召喚しない）「マルティナ「シャッターチャンスよ！」」"
"48", "10%の確率で、自分の周囲8マスに召喚者と同種の敵1体を召喚する。召喚後40ターンは、召喚能力が使えない。召喚した敵は、召喚能力を使えない。「イシュトヴァーン「もうひとつの可能性を検証する。」」"
"52", "視界内にアイテムがありかつ自分がアイテムを持っていない場合、その方向に移動する。足元にアイテムがある場合、そのアイテムを取得する。アイテムは1つまで持ち、倒すとドロップする。アイテムを持ってる間は常時倍速状態になる。メッセージはフロアのどこでも出力。「ルクは○○を拾った。」"
"56", "プレイヤーが3マス以内にいる場合（視界外でも、角度問わず）、25%の確率でプレイヤーと周囲8マスに10ダメージを与える爆弾を投げる。「セリーヌは爆弾を投げた！」"
"57", "プレイヤーが4マス以内にいる場合（視界外でも、角度問わず）、25%の確率でプレイヤーと周囲8マスに20ダメージを与える爆弾を投げる。「セリーヌは爆弾を投げた！"
"58", "プレイヤーが5マス以内にいる場合（視界外でも、角度問わず）、25%の確率でプレイヤーと周囲8マスに30ダメージを与える爆弾を投げる。「セリーヌは爆弾を投げた！"
"59", "プレイヤーが6マス以内にいる場合（視界外でも、角度問わず）、25%の確率でプレイヤーと周囲8マスに40ダメージを与える爆弾を投げる。「セリーヌは爆弾を投げた！"
"60", "壁をすり抜けて移動できる。壁の中から攻撃できる。標準の視界に加え、周囲20マスの追加視界を持つ。"
"64", "プレイヤー・敵見境なく攻撃する。通常攻撃は常に攻撃力分の固定ダメージを与える。昇格しない代わりに、敵を倒すと攻撃力が5上がる。「ジャッキーはアドレナリンを出している！」敵を倒したときにHPが全回復する。"
"65", "倒すと50%の確率で棺桶を落とす。プレイヤーが隣接している時かつプレイヤーが烙印状態でない場合、プレイヤーを烙印状態（20ターン）にする。「キアラは烙印を刻んだ！」"
"67", "倒すと50%の確率で棺桶を落とす。プレイヤーが同じ部屋か周囲1マス以内かつプレイヤーが烙印状態でない場合30%の確率で、プレイヤーを烙印状態（20ターン）にする。「キアラは烙印を刻んだ！」"
"68", "倒すと50%の確率で棺桶を落とす。視界内外問わずフロアのどこからでも、プレイヤーが烙印状態でない場合30%の確率で、プレイヤーを烙印状態（20ターン）にする。「キアラは烙印を刻んだ！」"
"69", "倒すと50%の確率で棺桶を落とす。プレイヤーが隣接している時、15%の確率で洗脳状態にする特技を使う。「ザヒル「これは、神から与えられた試練だ。」」"
"70", "倒すと50%の確率で棺桶を落とす。プレイヤーが隣接している時、20%の確率で洗脳状態にする特技を使う。「ザヒル「これは、神から与えられた試練だ。」」"
"71", "倒すと50%の確率で棺桶を落とす。プレイヤーが隣接している時、25%の確率で洗脳状態にする特技を使う。「ザヒル「これは、神から与えられた試練だ。」」"
"72", "倒すと50%の確率で棺桶を落とす。プレイヤーが隣接している時、30%の確率で洗脳状態にする特技を使う。「ザヒル「これは、神から与えられた試練だ。」」"
"73", "倒すと50%の確率で棺桶を落とす。攻撃時、与えたダメージの30%を吸収してHPを回復する。"
"77", "倒すと50%の確率で棺桶を落とす。視界内に棺桶がある場合、その方向に移動する。周囲8マスか足元に棺桶がある時、棺桶の敵をその位置でHP完全回復で復活させる。足元の場合は周囲8マスのどこかに復活。「ヨハンは祈った！」「○○は棺桶から復活した！」"
"81", "倒すと30%の確率でライターを落とす。炎柱のダメージを受けない。15%の確率で、自分の周囲8マスの内最大1マスに炎柱を発生させる。「アドリアナ「アッハハハハ！」」炎柱は20ターン維持される。炎柱の上にいるプレイヤー・敵はターン終了時に10ダメージを受ける。炎柱の上にあるアイテムは消失する。炎柱で敵が倒れても、アドリアナは昇格しない。"
"82", "倒すと30%の確率でライターを落とす。炎柱のダメージを受けない。15%の確率で、自分の周囲8マスの内最大2マスに炎柱を発生させる。「アドリアナ「アッハハハハ！」」炎柱は20ターン維持される。炎柱の上にいるプレイヤー・敵はターン終了時に10ダメージを受ける。炎柱の上にあるアイテムは消失する。炎柱で敵が倒れても、アドリアナは昇格しない。"
"83", "倒すと30%の確率でライターを落とす。炎柱のダメージを受けない。15%の確率で、自分の周囲8マスの内最大3マスに炎柱を発生させる。「アドリアナ「アッハハハハ！」」炎柱は20ターン維持される。炎柱の上にいるプレイヤー・敵はターン終了時に10ダメージを受ける。炎柱の上にあるアイテムは消失する。炎柱で敵が倒れても、アドリアナは昇格しない。"
"84", "倒すと30%の確率でライターを落とす。炎柱のダメージを受けない。15%の確率で、自分の周囲8マスの内最大4マスに炎柱を発生させる。「アドリアナ「アッハハハハ！」」炎柱は20ターン維持される。炎柱の上にいるプレイヤー・敵はターン終了時に10ダメージを受ける。炎柱の上にあるアイテムは消失する。炎柱で敵が倒れても、アドリアナは昇格しない。"
"85", "この敵の視界にプレイヤーが居らず、フロア内で敵がプレイヤーからダメージを受けると、ダメージを受けた敵の周囲8マスにワープする。「エステル「エステル、緊急出動します！」」スキルは1回だけしか発動しない。"
"89", "プレイヤーから逃げるように移動する。10%の確率で、可視状態のスプリングの罠を設置する。「レニはなにか悪いことをしている！」設置したら、先20ターンは罠を設置しない。"
"93", "10%の確率で、可視状態の地雷の罠を設置する。「アイソル「作戦準備完了。」」設置したら、先20ターンは罠を設置しない。"
"97", "敵の視界内かつ直線上5マス以内にプレイヤーがいれば、50%の確率で魔法弾を発射する。ただし間に敵がいる場合はその敵に命中する。魔法弾は当たると、鈍足、混乱、ワープのいずれかの状態異常・効果を与える。"
"98", "敵の視界内かつ直線上5マス以内にプレイヤーがいれば、50%の確率で魔法弾を発射する。ただし間に敵がいる場合はその敵に命中する。魔法弾は当たると、鈍足、混乱、麻痺のいずれかの状態異常・効果を与える。"
"99", "敵の視界内かつ直線上5マス以内にプレイヤーがいれば、50%の確率で魔法弾を発射する。ただし間に敵がいる場合はその敵に命中する。魔法弾は当たると、鈍足、麻痺、平和のいずれかの状態異常・効果を与える。"
"100", "敵の視界内かつ直線上5マス以内にプレイヤーがいれば、50%の確率で魔法弾を発射する。ただし間に敵がいる場合はその敵に命中する。魔法弾は当たると、鈍足、睡眠、平和のいずれかの状態異常・効果を与える。"
"102", "プレイヤーが隣接している時、50%の確率で自身と周囲8マスのプレイヤー・敵全員を平和状態にする。「ハート「ラブ＆ピース！」」"
"103", "プレイヤーが視界内かつ2マス以内にいる時、50%の確率で自身と2マス以内のプレイヤー・敵全員を平和状態にする。「ハート「ラブ＆ピース！」」"
"104", "プレイヤーが同じ部屋（通路の場合は1マス以内）にいる時、50%の確率で自身と同じ部屋にいるプレイヤー・敵全員を平和状態にする。「ハート「ラブ＆ピース！」」"
