"ID", "名前", "画像ファイル", "進化先ID", "シンボル", "HP", "攻撃力", "防御力", "経験値", "移動回数", "攻撃回数", "特殊能力ID", "備考"
"0", "バーニャ", "Chara0002.png", "1", "", "5", "2", "0", "1", "1", "1", "", ""
"1", "ゴールドバーニャ", "Chara0002.png", "2", "SymbolGold.png", "25", "6", "1", "25", "1", "1", "1", ""
"2", "ミスリルバーニャ", "Chara0002.png", "3", "SymbolMith.png", "68", "22", "5", "480", "1", "1", "2", ""
"3", "エタバーニャ", "Chara0002.png", "", "SymbolEta.png", "80", "35", "8", "2900", "1", "1", "3", ""
"4", "クロエ", "Chara0003.png", "5", "", "4", "3", "0", "2", "1", "1", "4", ""
"5", "ゴールドクロエ", "Chara0003.png", "6", "SymbolGold.png", "55", "24", "3", "550", "1", "1", "4", ""
"6", "ミスリルクロエ", "Chara0003.png", "7", "SymbolMith.png", "83", "34", "7", "1000", "1", "1", "4", ""
"7", "エタクロエ", "Chara0003.png", "", "SymbolEta.png", "99", "45", "12", "4000", "1", "1", "4", ""
"8", "シウカイ", "Chara0004.png", "9", "", "8", "3", "0", "2", "1", "1", "8", ""
"9", "ゴールドシウカイ", "Chara0004.png", "10", "SymbolGold.png", "70", "17", "0", "400", "1", "1", "8", ""
"10", "ミスリルシウカイ", "Chara0004.png", "11", "SymbolMith.png", "115", "29", "0", "980", "1", "1", "8", ""
"11", "エタシウカイ", "Chara0004.png", "", "SymbolEta.png", "150", "38", "0", "3200", "1", "1", "8", ""
"12", "アヤ", "Chara0005.png", "13", "", "10", "4", "0", "4", "1", "1", "12", ""
"13", "ゴールドアヤ", "Chara0005.png", "14", "SymbolGold.png", "35", "12", "0", "80", "1", "1", "12", ""
"14", "ミスリルアヤ", "Chara0005.png", "15", "SymbolMith.png", "58", "18", "0", "700", "2", "2", "12", ""
"15", "エタアヤ", "Chara0005.png", "", "SymbolEta.png", "69", "37", "0", "2450", "2", "2", "12", ""
"16", "アデラ", "Chara0006.png", "17", "", "15", "7", "0", "6", "1", "1", "16", ""
"17", "ゴールドアデラ", "Chara0006.png", "18", "SymbolGold.png", "77", "25", "4", "680", "1", "1", "17", ""
"18", "ミスリルアデラ", "Chara0006.png", "19", "SymbolMith.png", "88", "40", "12", "3100", "1", "1", "18", ""
"19", "エタアデラ", "Chara0006.png", "", "SymbolEta.png", "99", "48", "16", "5000", "1", "1", "19", ""
"20", "アビゲイル", "Chara0007.png", "21", "", "14", "7", "2", "7", "1", "1", "20", ""
"21", "ゴールドアビゲイル", "Chara0007.png", "22", "SymbolGold.png", "60", "20", "3", "450", "1", "1", "20", ""
"22", "ミスリルアビゲイル", "Chara0007.png", "23", "SymbolMith.png", "115", "42", "3", "3333", "1", "1", "20", ""
"23", "エタアビゲイル", "Chara0007.png", "", "SymbolEta.png", "135", "50", "12", "4800", "1", "1", "23", ""
"24", "プリヤ", "Chara0008.png", "25", "", "17", "6", "1", "6", "1", "1", "24", ""
"25", "ゴールドプリヤ", "Chara0008.png", "26", "SymbolGold.png", "55", "18", "3", "350", "1", "1", "24", ""
"26", "ミスリルプリヤ", "Chara0008.png", "27", "SymbolMith.png", "88", "32", "7", "1600", "1", "1", "24", ""
"27", "エタプリヤ", "Chara0008.png", "", "SymbolEta.png", "107", "38", "10", "3400", "1", "1", "24", ""
"28", "ニア", "Chara0009.png", "29", "", "25", "7", "2", "20", "1", "1", "28", ""
"29", "ゴールドニア", "Chara0009.png", "30", "SymbolGold.png", "100", "28", "3", "777", "1", "1", "28", ""
"30", "ミスリルニア", "Chara0009.png", "31", "SymbolMith.png", "120", "40", "5", "3333", "1", "1", "28", ""
"31", "エタニア", "Chara0009.png", "", "SymbolEta.png", "150", "55", "10", "7777", "1", "1", "28", ""
"32", "フェンリル", "Chara0010.png", "33", "", "20", "10", "1", "25", "2", "1", "", ""
"33", "ゴールドフェンリル", "Chara0010.png", "34", "SymbolGold.png", "45", "13", "2", "200", "2", "1", "", ""
"34", "ミスリルフェンリル", "Chara0010.png", "35", "SymbolMith.png", "67", "24", "5", "720", "2", "1", "", ""
"35", "エタフェンリル", "Chara0010.png", "", "SymbolEta.png", "85", "38", "5", "1800", "2", "1", "", ""
"36", "雪", "Chara0011.png", "37", "", "22", "11", "4", "35", "1", "1", "", ""
"37", "ゴールド雪", "Chara0011.png", "38", "SymbolGold.png", "55", "22", "15", "700", "1", "1", "37", ""
"38", "ミスリル雪", "Chara0011.png", "39", "SymbolMith.png", "68", "38", "20", "2900", "1", "1", "38", ""
"39", "エタ雪", "Chara0011.png", "", "SymbolEta.png", "75", "44", "25", "4300", "1", "1", "39", ""
"40", "ダイリン", "Chara0012.png", "41", "", "28", "11", "1", "25", "1", "1", "40", ""
"41", "ゴールドダイリン", "Chara0012.png", "42", "SymbolGold.png", "72", "25", "4", "1100", "1", "1", "40", ""
"42", "ミスリルダイリン", "Chara0012.png", "43", "SymbolMith.png", "93", "36", "7", "2500", "1", "1", "40", ""
"43", "エタダイリン", "Chara0012.png", "", "SymbolEta.png", "122", "42", "9", "3800", "1", "1", "40", ""
"44", "マルティナ", "Chara0013.png", "45", "", "14", "1", "5", "40", "2", "1", "44", ""
"45", "ゴールドマルティナ", "Chara0013.png", "46", "SymbolGold.png", "48", "1", "10", "400", "2", "1", "45", ""
"46", "ミスリルマルティナ", "Chara0013.png", "47", "SymbolMith.png", "62", "1", "15", "2500", "2", "1", "46", ""
"47", "エタマルティナ", "Chara0013.png", "", "SymbolEta.png", "78", "1", "20", "5000", "2", "1", "47", ""
"48", "イシュトヴァーン", "Chara0014.png", "49", "", "20", "12", "3", "30", "1", "1", "48", ""
"49", "ゴールドイシュトヴァーン", "Chara0014.png", "50", "SymbolGold.png", "73", "27", "7", "1100", "1", "1", "48", ""
"50", "ミスリルイシュトヴァーン", "Chara0014.png", "51", "SymbolMith.png", "95", "38", "10", "2500", "1", "1", "48", ""
"51", "エタイシュトヴァーン", "Chara0014.png", "", "SymbolEta.png", "98", "44", "16", "4200", "1", "1", "48", ""
"52", "ルク", "Chara0015.png", "53", "", "30", "10", "0", "20", "1", "1", "52", ""
"53", "ゴールドルク", "Chara0015.png", "54", "SymbolGold.png", "92", "32", "4", "1300", "1", "1", "52", ""
"54", "ミスリルルク", "Chara0015.png", "55", "SymbolMith.png", "118", "41", "8", "2600", "1", "1", "52", ""
"55", "エタルク", "Chara0015.png", "", "SymbolEta.png", "142", "46", "13", "6000", "1", "1", "52", ""
"56", "セリーヌ", "Chara0016.png", "57", "", "28", "11", "2", "50", "1", "1", "56", ""
"57", "ゴールドセリーヌ", "Chara0016.png", "58", "SymbolGold.png", "90", "32", "4", "1500", "1", "1", "57", ""
"58", "ミスリルセリーヌ", "Chara0016.png", "59", "SymbolMith.png", "100", "38", "4", "3100", "1", "1", "58", ""
"59", "エタセリーヌ", "Chara0016.png", "", "SymbolEta.png", "105", "42", "4", "5800", "1", "1", "59", ""
"60", "エヴァ", "Chara0017.png", "61", "", "17", "13", "5", "65", "1", "1", "60", ""
"61", "ゴールドエヴァ", "Chara0017.png", "62", "SymbolGold.png", "59", "23", "6", "450", "1", "1", "60", ""
"62", "ミスリルエヴァ", "Chara0017.png", "63", "SymbolMith.png", "87", "36", "8", "1650", "1", "1", "60", ""
"63", "エタエヴァ", "Chara0017.png", "", "SymbolEta.png", "108", "49", "9", "5800", "1", "1", "60", ""
"64", "ジャッキー", "Chara0018.png", "", "", "35", "5", "3", "100", "2", "2", "64", ""
"65", "キアラ", "Chara0019.png", "66", "", "42", "15", "2", "120", "1", "1", "65", ""
"66", "ゴールドキアラ", "Chara0019.png", "67", "SymbolGold.png", "87", "30", "7", "850", "1", "1", "65", ""
"67", "ミスリルキアラ", "Chara0019.png", "68", "SymbolMith.png", "100", "38", "12", "2600", "1", "1", "67", ""
"68", "エタキアラ", "Chara0019.png", "", "SymbolEta.png", "121", "43", "13", "4800", "1", "1", "68", ""
"69", "ザヒル", "Chara0020.png", "70", "", "34", "13", "5", "95", "1", "1", "69", ""
"70", "ゴールドザヒル", "Chara0020.png", "71", "SymbolGold.png", "80", "32", "8", "900", "1", "1", "70", ""
"71", "ミスリルザヒル", "Chara0020.png", "72", "SymbolMith.png", "85", "37", "14", "3500", "1", "1", "71", ""
