"ID", "説明"
"0", "満腹度が満タンの時に使うと、最大満腹度が1増加する。"
"1", "満腹度が満タンの時に使うと、最大満腹度が2増加する。"
"2", "満腹度が満タンの時に使うと、最大満腹度が3増加する。"
"20", "HPが満タンの時に使うと、最大HPが2増加する。"
"21", "HPが満タンの時に使うと、最大HPが3増加する。"
"22", "使用すると、睡眠状態になる。"
"23", "使用すると、ランダムな部屋のランダムな位置に移動する。部屋で使った場合、その部屋には移動しない。"
"24", "使用すると、混乱状態を解除する。"
"25", "使用すると、加速状態になる。鈍足状態の場合は、加速状態にならず鈍足状態を解除する。"
"26", "使用すると、鈍足状態になる。加速状態の場合は、鈍足状態にならず加速状態を解除する。"
"27", "使用すると、レベルが1上がる。敵に当たった場合は昇格する。ジャッキーの場合はアドレナリンが分泌される。"
"50", "撃つ方向を選択し、最初に当たった敵と、その周囲8マスの敵を睡眠状態にする。"
"51", "使用すると、同じ部屋にいる敵（通路にいる場合は周囲8マス）を混乱状態にする。"
"52", "使用すると、ランダムな部屋のランダムな位置に移動する。部屋で使った場合、その部屋には移動しない。"
"53", "使用すると、そのフロアにいる間は罠を踏んでも発動しなくなる。"
"54", "使用すると、同じ部屋にいる敵（通路にいる場合は周囲8マス）を麻痺状態にする。"
"55", "撃つ方向を選択し、射程10マス以内の敵全てに50ダメージを与える。"
"56", "撃つ方向を選択し、その方向に瞬時に移動する。射程は無限で、角は無視するが、壁や敵に当たると止まる。"
"57", "撃つ方向を選択し、最初に当たった敵と、その周囲8マスの敵を鈍足状態にする。"
"58", "撃つ方向を選択し、射程10マス以内の壁を全て掘る。"
"59", "使用すると、そのフロアにいる間混乱状態にならなくなる。"
