"ID", "説明"
"0", "装備中はミニマップでフロアの全ての敵の位置が分かる。"
"1", "装備中は通路での視界が1マス広がる。"
"2", "装備中は鈍足状態にならなくなる。"
"3", "装備中はHP0になっても、復活する。復活時は100%、満腹度100%、全ての状態異常を回復する。ただし復活すると消失する。「再生腕輪により復活した！」"
"4", "装備中は平和状態にならなくなる。"
"5", "装備中は平和状態・麻痺状態にならなくなる。"
"6", "装備中はHPの最大値が15増加する。装備時に増加分のHPは回復しない。"
"7", "装備中はHPの最大値が30増加する。装備時に増加分のHPは回復しない。"
"8", "装備中はアイテムが盗まれなくなる。"
"9", "装備中はアイテムの盗まれたり、変化されなくなるバンド。"
"101", "装備中は壁を掘ることができるが、掘った時に5%の確率で壊れる。"
"102", "装備中は20%の確率で2回攻撃できる。"
"103", "装備中は壁を掘ることができるが、掘った時に2%の確率で壊れる。"
"104", "装備中は通常攻撃で与えたダメージの30%を吸収する。"
"201", "装備中は遠距離攻撃を受けた時のダメージを50%軽減する。"
"202", "装備中は遠距離攻撃を受けた時のダメージを75%軽減する。"
"203", "装備中は爆発物から受けるダメージを50%軽減する。"
"204", "装備中は混乱状態にならなくなる。"
"205", "装備中は睡眠状態にならなくなる。"
"206", "装備中は満腹度を5消費して全ての受けるダメージを50%軽減する。（固定ダメージ含む）満腹度が足りない場合は効果が発動しない。"
"300", "装備中は遠距離攻撃時の攻撃力が5増加する。"
"301", "装備中は遠距離攻撃時の攻撃力が10増加する。"
