"ID", "分類", "名前", "攻撃力", "防御力", "HP加算量", "満腹度加算量", "装備時効果", "使用時効果ID", "使用可能回数最小", "使用可能回数最大", "説明文"
"0", "0", "錆びついた剣", "2", "0", "", "", "", "", "", "", "とてもモノが斬れるとは思えない剣だ。攻撃力+2"
"1", "0", "長剣", "3", "0", "", "", "", "", "", "", "長めの普通の剣。攻撃力+3"
"2", "0", "刀", "4", "0", "", "", "", "", "", "", "鋭い切れ味の刀。攻撃力+4"
"3", "0", "トンファー", "1", "1", "", "", "", "", "", "", "攻めてよし、守ってよし。攻撃力+1 防御力+1"
"4", "0", "琉球トンファー", "2", "2", "", "", "", "", "", "", "沖縄発祥のトンファー。攻撃力+2 防御力+2"
"5", "0", "包丁", "2", "0", "", "", "", "", "", "", "料理に使う包丁。攻撃力+2"
"6", "0", "つるはし", "2", "0", "", "", "101", "", "", "", "壁を掘ることができるが、たまに壊れてしまう。攻撃力+2"
"7", "0", "物干し竿", "7", "0", "", "", "", "", "", "", "洗濯物を干すための竿？攻撃力+7"
"8", "0", "マイソーク", "4", "4", "", "", "", "", "", "", "タイの武術で使うトンファー。攻撃力+4 防御力+4"
"9", "0", "プラズマトンファー", "5", "3", "", "", "", "", "", "", "トンファー形状のプラズマ武器。攻撃力+5 防御力+3"
"10", "0", "ウィンドランナー", "5", "4", "", "", "102", "", "", "", "たまに2回攻撃できる風を切るトンファー。攻撃力+5 防御力+4"
"11", "0", "黒曜石十手", "7", "3", "", "", "", "", "", "", "黒曜石で作られた強固な十手。攻撃力+7 防御力+3"
"12", "0", "ブレードトンファー", "10", "4", "", "", "", "", "", "", "血の刃がついたトンファー。攻撃力+10 防御力+4"
"13", "0", "黄金のつるはし", "4", "0", "", "", "103", "", "", "", "少し壊れにくい黄金色のつるはし。攻撃力+4"
"14", "0", "光の剣", "12", "0", "", "", "", "", "", "", "眩い光を放つ剣。攻撃力+12"
"15", "0", "ホヴズ", "6", "0", "", "", "", "", "", "", "青黒い色の不思議な剣。攻撃力+6"
"16", "0", "ハデスエッジ", "9", "0", "", "", "104", "", "", "", "与えたダメージの一部を吸収する、冥界の力を宿した剣。攻撃力+9"
"17", "0", "エクスカリバー", "18", "0", "", "", "", "", "", "", "伝説の王の剣。攻撃力+18"
"18", "0", "ダインスレイヴ", "14", "0", "", "", "104", "", "", "", "与えたダメージの一部を吸収する、破壊の力を宿した剣。攻撃力+14"
"19", "0", "『ムササビ』", "5", "5", "", "", "105", "", "", "", "必ず2回攻撃できる伝説のトンファー。攻撃力+5 防御力+5"
