"ID","メッセージ"
"PLAYER_ATTACK","{enemy}に{damage}ダメージを与えた。"
"PLAYER_MISS","{enemy}への攻撃は外れた。"
"PLAYER_RANGED_ATTACK","{enemy}に遠距離攻撃で{damage}ダメージを与えた。"
"PLAYER_RANGED_WEAPON_FIRED","{item}で遠距離攻撃をした！"
"PLAYER_RANGED_NOTHING_HIT","何にも当たらなかった！"
"PLAYER_DEFEATED","アレックスは倒れた！"
"ENEMY_ATTACK","{enemy}から{damage}ダメージを受けた。"
"ENEMY_ATTACK_ENEMY","{enemy}は混乱して{target}に{damage}ダメージを与えた。"
"ENEMY_JACKIE_ATTACK_ENEMY","{enemy}は{target}に{damage}ダメージを与えた。"
"ENEMY_JACKIE_ADRENALINE","{enemy}はアドレナリンを出している！"
"ENEMY_MISS","{enemy}の攻撃は外れた。"
"ENEMY_CHECK_ATTACK","{enemy}「チェック。」HPが1になった！"
"ENEMY_RANGED_ATTACK","{enemy}の遠距離攻撃で{damage}ダメージを受けた。"
"ENEMY_RANGED_HIT_ENEMY","{enemy}の遠距離攻撃が{target}に当たり、{damage}ダメージを与えた。"
"ENEMY_RANGED_MISS_ENEMY","{enemy}の遠距離攻撃は{target}に回避された。"
"ENEMY_ADINA_MAGIC_BOLT","{enemy}の天体が{target}に当たった！"
"ENEMY_EVOLVED","{enemy}は{evolution}に昇格した！"
"ENEMY_SURVIVED","{enemy}はニナとの生命共有で耐えた！"
"ENEMY_DEFEATED","{enemy}を倒した！{experience}の経験値を得た。"
"ENEMY_DROP_ITEM","{enemy}は{item}を落とした。"
"ENEMY_WARPED","{enemy}はワープした！"
"ENEMY_ISAAC_ANNOUNCEMENT","アイザック「ここの王は誰なのか、俺が教えてやろう。」"
"ENEMY_ISAAC_WARP","アイザック「検問でぇ～す。」"
"ENEMY_MARTINA_SUMMONS","{enemy}「シャッターチャンスよ！」"
"ENEMY_ISTVAN_SUMMONS","{enemy}「もうひとつの可能性を検証する。」"
"ENEMY_SUMMONED","{enemy}が召喚された！"
"ENEMY_LUKE_PICKUP","{enemy}は{item}を拾った。"
"ENEMY_LUKE_DROPPED","{enemy}は{item}を落とした。"
"ENEMY_LAURA_THEFT","{enemy}は{item}を盗んで逃げた！"
"ENEMY_LAURA_THEFT_FAILED","{enemy}は盗めずに逃げた！"
"ENEMY_BARBARA_MODIFICATION","{enemy}は{item}を改造して{result}にした！"
"ENEMY_MARKUS_CRITICAL_HIT","{enemy}は痛恨の一撃を放った！"
"ENEMY_EMMA_REVEALED","{enemy}「ジャジャーン！マジシャン登場！」"
"ENEMY_KATJA_AIMS","{enemy}は照準を合わせた！"
"ENEMY_SISSELA_RELEASES_PAIN","{enemy}は苦痛を解放した！"
"ENEMY_SISSELA_PAIN_HIT_PLAYER","{enemy}の苦痛で{damage}ダメージを受けた。"
"ENEMY_SISSELA_PAIN_HIT_ENEMY","{enemy}の苦痛が{target}に当たり、{damage}ダメージを与えた。"
"ENEMY_JUSTYNA_LASER","{enemy}「アストラバースト！！！」"
"ENEMY_JUSTYNA_LASER_HIT_PLAYER","{enemy}のレーザーで{damage}ダメージを受けた。"
"ENEMY_JUSTYNA_LASER_HIT_ENEMY","{enemy}のレーザーが{target}に当たり、{damage}ダメージを与えた。"
"ENEMY_AIDEN_ELECTRIC_BURST","{enemy}は電撃を放った！"
"ENEMY_AIDEN_ELECTRIC_BURST_HIT_PLAYER","{enemy}の電撃で{damage}ダメージを受けた。"
"ENEMY_AIDEN_ELECTRIC_BURST_HIT_ENEMY","{enemy}の電撃が{target}に当たり、{damage}ダメージを与えた。"
"ENEMY_CELINE_BOMB","{enemy}は爆弾を投げた！{damage}ダメージを受けた。"
